"search-number","evaluation","evals-requested-so-far","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","250","3","0.527","0.66","35","28","2","2","48","0.1","15","81","20","0.01","8","0.5","""-1647914788""","3234.733598312397","3234.733598312397","3234.733598312397","0","3234.733598312397"
"1","2","250","3","0.527","0.66","35","28","2","2","48","0.1","15","81","20","0.01","8","0.5","""-2036463246""","3652.5204431852694","3652.5204431852694","3652.5204431852694","0","3652.5204431852694"
"1","3","250","3","0.527","0.66","35","28","2","2","48","0.1","15","81","20","0.01","8","0.5","""-644032227""","1319.3794698822844","1319.3794698822844","1319.3794698822844","0","1319.3794698822844"
"1","4","250","3","0.527","0.66","35","28","2","2","48","0.1","15","81","20","0.01","8","0.5","""852803071""","3143.2021501084378","3143.2021501084378","3143.2021501084378","0","3143.2021501084378"
"1","5","250","3","0.527","0.66","35","28","2","2","48","0.1","15","81","20","0.01","8","0.5","""-1854272986""","1399.8637467770423","1399.8637467770423","1399.8637467770423","0","1399.8637467770423"
"1","6","250","3","0.527","0.66","35","30","2","1","48","0.1","15","194","20","0.01","8","0.5","""-1567526359""","1948.275890894834","1948.275890894834","1948.275890894834","0","1948.275890894834"
"1","7","250","3","0.527","0.66","35","30","2","1","48","0.1","15","194","20","0.01","8","0.5","""-451545731""","1044.7036435324262","1044.7036435324262","1044.7036435324262","0","1044.7036435324262"
"1","8","250","3","0.527","0.66","35","30","2","1","48","0.1","15","194","20","0.01","8","0.5","""-999760939""","2063.186247887267","2063.186247887267","2063.186247887267","0","2063.186247887267"
"1","9","250","3","0.527","0.66","35","30","2","1","48","0.1","15","194","20","0.01","8","0.5","""1318448063""","206.85763614823622","206.85763614823622","206.85763614823622","0","206.85763614823622"
"1","10","250","3","0.527","0.66","35","30","2","1","48","0.1","15","194","20","0.01","8","0.5","""-1152239143""","2500.654007634502","2500.654007634502","2500.654007634502","0","2500.654007634502"
"1","11","250","3","0.527","0.66","35","16","2","2","48","0.1","15","56","20","0.01","8","0.5","""-245543186""","1318.8027890031335","1318.8027890031335","1318.8027890031335","0","1318.8027890031335"
"1","12","250","3","0.527","0.66","35","16","2","2","48","0.1","15","56","20","0.01","8","0.5","""1948228033""","763.1391864608939","763.1391864608939","763.1391864608939","0","763.1391864608939"
"1","13","250","3","0.527","0.66","35","16","2","2","48","0.1","15","56","20","0.01","8","0.5","""625396316""","1400.561997426735","1400.561997426735","1400.561997426735","0","1400.561997426735"
"1","14","250","3","0.527","0.66","35","16","2","2","48","0.1","15","56","20","0.01","8","0.5","""101475016""","3229.8416677951805","3229.8416677951805","3229.8416677951805","0","3229.8416677951805"
"1","15","250","3","0.527","0.66","35","16","2","2","48","0.1","15","56","20","0.01","8","0.5","""1600661921""","1403.5748198224255","1403.5748198224255","1403.5748198224255","0","1403.5748198224255"
"1","16","250","3","0.527","0.66","35","22","2","1","48","0.1","15","180","20","0.01","8","0.5","""1750301572""","1933.0575586336","1933.0575586336","1933.0575586336","0","1933.0575586336"
"1","17","250","3","0.527","0.66","35","22","2","1","48","0.1","15","180","20","0.01","8","0.5","""-712727809""","2842.6467259248707","2842.6467259248707","2842.6467259248707","0","2842.6467259248707"
"1","18","250","3","0.527","0.66","35","22","2","1","48","0.1","15","180","20","0.01","8","0.5","""11850472""","1651.5554529979568","1651.5554529979568","1651.5554529979568","0","1651.5554529979568"
"1","19","250","3","0.527","0.66","35","22","2","1","48","0.1","15","180","20","0.01","8","0.5","""-131265975""","1512.0271245615872","1512.0271245615872","1512.0271245615872","0","1512.0271245615872"
"1","20","250","3","0.527","0.66","35","22","2","1","48","0.1","15","180","20","0.01","8","0.5","""728995218""","-1323.344613450195","-1323.344613450195","-1323.344613450195","0","-1323.344613450195"
"1","21","250","3","0.527","0.66","35","38","2","3","48","0.1","15","111","20","0.01","8","0.5","""-1704900559""","5292.023850887684","5292.023850887684","5292.023850887684","0","5292.023850887684"
"1","22","250","3","0.527","0.66","35","38","2","3","48","0.1","15","111","20","0.01","8","0.5","""-871182926""","5564.212689452383","5564.212689452383","5564.212689452383","0","5564.212689452383"
"1","23","250","3","0.527","0.66","35","38","2","3","48","0.1","15","111","20","0.01","8","0.5","""-453786974""","2977.0065166260497","2977.0065166260497","2977.0065166260497","0","2977.0065166260497"
"1","24","250","3","0.527","0.66","35","38","2","3","48","0.1","15","111","20","0.01","8","0.5","""669657686""","2226.5816481297875","2226.5816481297875","2226.5816481297875","0","2226.5816481297875"
"1","25","250","3","0.527","0.66","35","38","2","3","48","0.1","15","111","20","0.01","8","0.5","""-455718662""","2958.1567113496976","2958.1567113496976","2958.1567113496976","0","2958.1567113496976"
"1","26","250","3","0.527","0.66","35","10","2","1","48","0.1","15","125","20","0.01","8","0.5","""-1584760293""","1492.479589446189","1492.479589446189","1492.479589446189","0","1492.479589446189"
"1","27","250","3","0.527","0.66","35","10","2","1","48","0.1","15","125","20","0.01","8","0.5","""-1277967042""","888.4310662009485","888.4310662009485","888.4310662009485","0","888.4310662009485"
"1","28","250","3","0.527","0.66","35","10","2","1","48","0.1","15","125","20","0.01","8","0.5","""1806086609""","2505.7995336846043","2505.7995336846043","2505.7995336846043","0","2505.7995336846043"
"1","29","250","3","0.527","0.66","35","10","2","1","48","0.1","15","125","20","0.01","8","0.5","""-1380293510""","1932.7321955190002","1932.7321955190002","1932.7321955190002","0","1932.7321955190002"
"1","30","250","3","0.527","0.66","35","10","2","1","48","0.1","15","125","20","0.01","8","0.5","""-1419494086""","1467.4362404959575","1467.4362404959575","1467.4362404959575","0","1467.4362404959575"
"1","31","250","3","0.527","0.66","35","50","2","1","48","0.1","15","51","20","0.01","8","0.5","""1426847275""","677.2484834785799","677.2484834785799","677.2484834785799","0","677.2484834785799"
"1","32","250","3","0.527","0.66","35","50","2","1","48","0.1","15","51","20","0.01","8","0.5","""-1121423388""","239.14488996967424","239.14488996967424","239.14488996967424","0","239.14488996967424"
"1","33","250","3","0.527","0.66","35","50","2","1","48","0.1","15","51","20","0.01","8","0.5","""271091576""","-478.44366214236453","-478.44366214236453","-478.44366214236453","0","-478.44366214236453"
