"search-number","evaluation","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","fitness","num-replicates","best-fitness-so-far"
"1","5","3","0.527","0.66","35","28","2","2","48","0.1","15","81","20","0.01","8","0.5","2549.939881653086","5","2549.939881653086"
"1","10","3","0.527","0.66","35","30","2","1","48","0.1","15","194","20","0.01","8","0.5","1552.735485219453","5","1552.735485219453"
"1","15","3","0.527","0.66","35","16","2","2","48","0.1","15","56","20","0.01","8","0.5","1623.1840921016735","5","1552.735485219453"
"1","20","3","0.527","0.66","35","22","2","1","48","0.1","15","180","20","0.01","8","0.5","1323.1884497335639","5","1323.1884497335639"
"1","25","3","0.527","0.66","35","38","2","3","48","0.1","15","111","20","0.01","8","0.5","3803.59628328912","5","1323.1884497335639"
"1","30","3","0.527","0.66","35","10","2","1","48","0.1","15","125","20","0.01","8","0.5","1657.3757250693398","5","1323.1884497335639"
"1","35","3","0.527","0.66","35","50","2","1","48","0.1","15","51","20","0.01","8","0.5","182.08221510143545","5","182.08221510143545"
"1","40","3","0.527","0.66","35","48","2","2","48","0.1","15","55","20","0.01","8","0.5","1142.5106646692495","5","182.08221510143545"
"1","45","3","0.527","0.66","35","26","2","2","48","0.1","15","23","20","0.01","8","0.5","71.25436519249355","5","71.25436519249355"
"1","50","3","0.527","0.66","35","14","2","3","48","0.1","15","165","20","0.01","8","0.5","8894.34364255768","5","71.25436519249355"
"1","55","3","0.527","0.66","35","34","2","3","48","0.1","15","123","20","0.01","8","0.5","3413.314567003302","5","71.25436519249355"
"1","60","3","0.527","0.66","35","46","2","2","48","0.1","15","17","20","0.01","8","0.5","179.68266677407982","5","71.25436519249355"
"1","65","3","0.527","0.66","35","18","2","2","48","0.1","15","27","20","0.01","8","0.5","-6.363715365102792","5","-6.363715365102792"
"1","70","3","0.527","0.66","35","20","2","1","48","0.1","15","142","20","0.01","8","0.5","1142.5701883239576","5","-6.363715365102792"
"1","75","3","0.527","0.66","35","18","2","2","48","0.1","15","94","20","0.01","8","0.5","2410.301349246829","5","-6.363715365102792"
"1","80","3","0.527","0.66","35","46","2","2","48","0.1","15","145","20","0.01","8","0.5","2990.767409013256","5","-6.363715365102792"
"1","85","3","0.527","0.66","35","46","2","1","48","0.1","15","57","20","0.01","8","0.5","145.40191637285284","5","-6.363715365102792"
"1","90","3","0.527","0.66","35","42","2","3","48","0.1","15","114","20","0.01","8","0.5","2888.2331292594145","5","-6.363715365102792"
"1","95","3","0.527","0.66","35","42","2","3","48","0.1","15","173","20","0.01","8","0.5","7052.466229139483","5","-6.363715365102792"
"1","100","3","0.527","0.66","35","20","2","2","48","0.1","15","165","20","0.01","8","0.5","3136.536516395364","5","-6.363715365102792"
"1","105","3","0.527","0.66","35","24","2","1","48","0.1","15","101","20","0.01","8","0.5","1211.3168783029275","5","-6.363715365102792"
"1","110","3","0.527","0.66","35","14","2","2","48","0.1","15","109","20","0.01","8","0.5","1571.637941632027","5","-6.363715365102792"
"1","115","3","0.527","0.66","35","24","2","1","48","0.1","15","15","20","0.01","8","0.5","-363.5251394367499","5","-363.5251394367499"
"1","120","3","0.527","0.66","35","10","2","1","48","0.1","15","61","20","0.01","8","0.5","272.5591213557553","5","-363.5251394367499"
"1","125","3","0.527","0.66","35","32","2","2","48","0.1","15","126","20","0.01","8","0.5","1589.0452536237854","5","-363.5251394367499"
"1","130","3","0.527","0.66","35","38","2","1","48","0.1","15","71","20","0.01","8","0.5","333.0688898642375","5","-363.5251394367499"
"1","135","3","0.527","0.66","35","42","2","3","48","0.1","15","11","20","0.01","8","0.5","177.89167892416722","5","-363.5251394367499"
"1","140","3","0.527","0.66","35","22","2","1","48","0.1","15","185","20","0.01","8","0.5","2427.6022271594093","5","-363.5251394367499"
"1","145","3","0.527","0.66","35","18","2","2","48","0.1","15","160","20","0.01","8","0.5","3684.3268644419695","5","-363.5251394367499"
"1","150","3","0.527","0.66","35","38","2","2","48","0.1","15","35","20","0.01","8","0.5","532.0687272116771","5","-363.5251394367499"
"1","155","3","0.527","0.66","35","26","2","1","48","0.1","15","81","20","0.01","8","0.5","499.2166344138606","5","-363.5251394367499"
"1","160","3","0.527","0.66","35","32","2","3","48","0.1","15","150","20","0.01","8","0.5","4563.878898380101","5","-363.5251394367499"
"1","165","3","0.527","0.66","35","50","2","3","48","0.1","15","71","20","0.01","8","0.5","2057.087778185117","5","-363.5251394367499"
"1","170","3","0.527","0.66","35","46","2","1","48","0.1","15","149","20","0.01","8","0.5","1008.0090466115356","5","-363.5251394367499"
"1","175","3","0.527","0.66","35","22","2","1","48","0.1","15","163","20","0.01","8","0.5","1315.2374985478289","5","-363.5251394367499"
"1","180","3","0.527","0.66","35","32","2","3","48","0.1","15","96","20","0.01","8","0.5","2586.206033769048","5","-363.5251394367499"
"1","185","3","0.527","0.66","35","30","2","1","48","0.1","15","191","20","0.01","8","0.5","72.04482407832234","5","-363.5251394367499"
"1","190","3","0.527","0.66","35","12","2","3","48","0.1","15","155","20","0.01","8","0.5","3367.1730973412705","5","-363.5251394367499"
"1","195","3","0.527","0.66","35","38","2","1","48","0.1","15","145","20","0.01","8","0.5","1705.158055276904","5","-363.5251394367499"
"1","200","3","0.527","0.66","35","16","2","3","48","0.1","15","147","20","0.01","8","0.5","5881.227850476948","5","-363.5251394367499"
"1","205","3","0.527","0.66","35","40","2","1","48","0.1","15","52","20","0.01","8","0.5","214.72343119741157","5","-363.5251394367499"
"1","210","3","0.527","0.66","35","36","2","3","48","0.1","15","59","20","0.01","8","0.5","2227.865291057316","5","-363.5251394367499"
"1","215","3","0.527","0.66","35","16","2","2","48","0.1","15","55","20","0.01","8","0.5","87.39710848976222","5","-363.5251394367499"
"1","220","3","0.527","0.66","35","36","2","3","48","0.1","15","76","20","0.01","8","0.5","2549.3917813032704","5","-363.5251394367499"
"1","225","3","0.527","0.66","35","28","2","2","48","0.1","15","98","20","0.01","8","0.5","1302.247594470174","5","-363.5251394367499"
"1","230","3","0.527","0.66","35","14","2","3","48","0.1","15","76","20","0.01","8","0.5","1205.6544776733886","5","-363.5251394367499"
"1","235","3","0.527","0.66","35","46","2","3","48","0.1","15","38","20","0.01","8","0.5","1166.3610217887485","5","-363.5251394367499"
"1","240","3","0.527","0.66","35","36","2","1","48","0.1","15","9","20","0.01","8","0.5","-300.4261125230643","5","-363.5251394367499"
"1","245","3","0.527","0.66","35","12","2","3","48","0.1","15","121","20","0.01","8","0.5","8509.983931202183","5","-363.5251394367499"
"1","250","3","0.527","0.66","35","50","2","3","48","0.1","15","160","20","0.01","8","0.5","5558.7495054671635","5","-363.5251394367499"
"1","255","3","0.527","0.66","35","26","2","2","48","0.1","15","52","20","0.01","8","0.5","1633.3898790971045","5","-363.5251394367499"
"1","260","3","0.527","0.66","35","40","2","1","48","0.1","15","23","20","0.01","8","0.5","-148.55604875899968","5","-363.5251394367499"
"1","265","3","0.527","0.66","35","42","2","3","48","0.1","15","61","20","0.01","8","0.5","2043.12800996156","5","-363.5251394367499"
"1","270","3","0.527","0.66","35","10","2","1","48","0.1","15","11","20","0.01","8","0.5","-890.5589283630819","5","-890.5589283630819"
"1","275","3","0.527","0.66","35","16","2","2","48","0.1","15","51","20","0.01","8","0.5","423.6096233908664","5","-890.5589283630819"
"1","280","3","0.527","0.66","35","50","2","1","48","0.1","15","56","20","0.01","8","0.5","308.9610140113763","5","-890.5589283630819"
"1","285","3","0.527","0.66","35","50","2","1","48","0.1","15","23","20","0.01","8","0.5","38.52215894956497","5","-890.5589283630819"
"1","290","3","0.527","0.66","35","26","2","2","48","0.1","15","51","20","0.01","8","0.5","497.8761039208167","5","-890.5589283630819"
"1","295","3","0.527","0.66","35","24","2","1","48","0.1","15","11","20","0.01","8","0.5","-413.88466234937033","5","-890.5589283630819"
"1","300","3","0.527","0.66","35","42","2","3","48","0.1","15","15","20","0.01","8","0.5","16.519038138577297","5","-890.5589283630819"
"1","305","3","0.527","0.66","35","40","2","1","48","0.1","15","15","20","0.01","8","0.5","-251.83607359884928","5","-890.5589283630819"
"1","310","3","0.527","0.66","35","24","2","1","48","0.1","15","52","20","0.01","8","0.5","-7.050231248073203","5","-890.5589283630819"
"1","315","3","0.527","0.66","35","18","2","2","48","0.1","15","15","20","0.01","8","0.5","-187.58125188115832","5","-890.5589283630819"
"1","320","3","0.527","0.66","35","24","2","1","48","0.1","15","94","20","0.01","8","0.5","100.81209622278134","5","-890.5589283630819"
"1","325","3","0.527","0.66","35","18","2","1","48","0.1","15","15","20","0.01","8","0.5","-208.90574821143392","5","-890.5589283630819"
"1","330","3","0.527","0.66","35","24","2","2","48","0.1","15","27","20","0.01","8","0.5","420.3639079459209","5","-890.5589283630819"
"1","335","3","0.527","0.66","35","36","2","1","48","0.1","15","15","20","0.01","8","0.5","-515.9563875767246","5","-890.5589283630819"
"1","340","3","0.527","0.66","35","24","2","1","48","0.1","15","9","20","0.01","8","0.5","-309.19404369459704","5","-890.5589283630819"
"1","345","3","0.527","0.66","35","40","2","1","48","0.1","15","9","20","0.01","8","0.5","-481.0022802121486","5","-890.5589283630819"
"1","350","3","0.527","0.66","35","24","2","1","48","0.1","15","23","20","0.01","8","0.5","-10.331204040713692","5","-890.5589283630819"
"1","355","3","0.527","0.66","35","36","2","2","48","0.1","15","27","20","0.01","8","0.5","311.3359782074917","5","-890.5589283630819"
"1","360","3","0.527","0.66","35","18","2","1","48","0.1","15","9","20","0.01","8","0.5","-390.1299788166801","5","-890.5589283630819"
"1","365","3","0.527","0.66","35","36","2","1","48","0.1","15","52","20","0.01","8","0.5","350.59307667842825","5","-890.5589283630819"
"1","370","3","0.527","0.66","35","10","2","1","48","0.1","15","15","20","0.01","8","0.5","-845.4500159302534","5","-890.5589283630819"
"1","375","3","0.527","0.66","35","40","2","1","48","0.1","15","11","20","0.01","8","0.5","-321.3597082068201","5","-890.5589283630819"
"1","380","3","0.527","0.66","35","36","2","1","48","0.1","15","11","20","0.01","8","0.5","-298.1727317191748","5","-890.5589283630819"
"1","385","3","0.527","0.66","35","24","2","1","48","0.1","15","0","20","0.01","8","0.5","-506.70303089234784","5","-890.5589283630819"
"1","390","3","0.527","0.66","35","10","2","1","48","0.1","15","29","20","0.01","8","0.5","-539.840949275684","5","-890.5589283630819"
"1","395","3","0.527","0.66","35","10","2","1","48","0.1","15","0","20","0.01","8","0.5","-847.6186864358539","5","-890.5589283630819"
"1","400","3","0.527","0.66","35","10","2","1","48","0.1","15","5","20","0.01","8","0.5","-886.5487064830104","5","-890.5589283630819"
"1","405","3","0.527","0.66","35","10","2","1","48","0.1","15","7","20","0.01","8","0.5","-755.2454826816584","5","-890.5589283630819"
"1","410","3","0.527","0.66","35","10","2","1","48","0.1","15","32","20","0.01","8","0.5","-123.18088295417795","5","-890.5589283630819"
"1","415","3","0.527","0.66","35","12","2","1","48","0.1","15","11","20","0.01","8","0.5","-301.748966595072","5","-890.5589283630819"
"1","420","3","0.527","0.66","35","14","2","1","48","0.1","15","11","20","0.01","8","0.5","-625.0570716370216","5","-890.5589283630819"
"1","425","3","0.527","0.66","35","10","2","1","48","0.1","15","18","20","0.01","8","0.5","-705.2727773559096","5","-890.5589283630819"
"1","430","3","0.527","0.66","35","10","2","1","48","0.1","15","39","20","0.01","8","0.5","64.70200124296016","5","-890.5589283630819"
"1","435","3","0.527","0.66","35","10","2","1","48","0.1","15","14","20","0.01","8","0.5","-913.211491378532","5","-913.211491378532"
"1","440","3","0.527","0.66","35","10","2","1","48","0.1","15","2","20","0.01","8","0.5","-934.5230733817816","5","-934.5230733817816"
"1","445","3","0.527","0.66","35","16","2","1","48","0.1","15","11","20","0.01","8","0.5","-497.6723457625374","5","-934.5230733817816"
"1","450","3","0.527","0.66","35","10","2","1","48","0.1","15","51","20","0.01","8","0.5","-1.0319188938713524","5","-934.5230733817816"
"1","455","3","0.527","0.66","35","10","2","1","48","0.1","15","10","20","0.01","8","0.5","-431.2449187435186","5","-934.5230733817816"
"1","460","3","0.527","0.66","35","10","2","1","48","0.1","15","28","20","0.01","8","0.5","-272.8109800862934","5","-934.5230733817816"
"1","465","3","0.527","0.66","35","12","2","1","48","0.1","15","2","20","0.01","8","0.5","-927.2612891599258","5","-934.5230733817816"
"1","470","3","0.527","0.66","35","14","2","1","48","0.1","15","2","20","0.01","8","0.5","-629.8944271574394","5","-934.5230733817816"
"1","475","3","0.527","0.66","35","10","2","1","48","0.1","15","1","20","0.01","8","0.5","-514.1463041059358","5","-934.5230733817816"
"1","480","3","0.527","0.66","35","10","2","1","48","0.1","15","33","20","0.01","8","0.5","-87.99290760481631","5","-934.5230733817816"
"1","485","3","0.527","0.66","35","10","2","1","48","0.1","15","9","20","0.01","8","0.5","-573.7139109261832","5","-934.5230733817816"
"1","490","3","0.527","0.66","35","10","2","1","48","0.1","15","8","20","0.01","8","0.5","-664.1406524314164","5","-934.5230733817816"
"1","495","3","0.527","0.66","35","10","2","1","48","0.1","15","13","20","0.01","8","0.5","-555.392929621236","5","-934.5230733817816"
"1","500","3","0.527","0.66","35","10","2","1","48","0.1","15","34","20","0.01","8","0.5","-400.1943808068951","5","-934.5230733817816"
