"search-number","evaluation","evals-requested-so-far","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","500","3","0.527","0.66","35","38","2","2","48","0.1","15","142","20","0.01","8","0.5","""1038062398""","5811.476042769033","5811.476042769033","5811.476042769033","0","5811.476042769033"
"1","2","500","3","0.527","0.66","35","38","2","2","48","0.1","15","142","20","0.01","8","0.5","""-1046348878""","4656.068908421534","4656.068908421534","4656.068908421534","0","4656.068908421534"
"1","3","500","3","0.527","0.66","35","38","2","2","48","0.1","15","142","20","0.01","8","0.5","""1894933091""","1521.3118916506169","1521.3118916506169","1521.3118916506169","0","1521.3118916506169"
"1","4","500","3","0.527","0.66","35","38","2","2","48","0.1","15","142","20","0.01","8","0.5","""-1809703650""","2258.6111347701712","2258.6111347701712","2258.6111347701712","0","2258.6111347701712"
"1","5","500","3","0.527","0.66","35","38","2","2","48","0.1","15","142","20","0.01","8","0.5","""1833369139""","4242.057600471596","4242.057600471596","4242.057600471596","0","4242.057600471596"
"1","6","500","3","0.527","0.66","35","38","2","2","48","0.1","15","142","20","0.01","8","0.5","""485300473""","1950.8569471444291","1950.8569471444291","1950.8569471444291","0","1950.8569471444291"
"1","7","500","3","0.527","0.66","35","38","2","2","48","0.1","15","142","20","0.01","8","0.5","""-306433157""","1591.730508106374","1591.730508106374","1591.730508106374","0","1591.730508106374"
"1","8","500","3","0.527","0.66","35","38","2","2","48","0.1","15","142","20","0.01","8","0.5","""29206714""","3494.0285781769285","3494.0285781769285","3494.0285781769285","0","3494.0285781769285"
"1","9","500","3","0.527","0.66","35","38","2","2","48","0.1","15","142","20","0.01","8","0.5","""1958017056""","2820.1958624328995","2820.1958624328995","2820.1958624328995","0","2820.1958624328995"
"1","10","500","3","0.527","0.66","35","38","2","2","48","0.1","15","142","20","0.01","8","0.5","""2042727155""","1309.540782319902","1309.540782319902","1309.540782319902","0","1309.540782319902"
"1","11","500","3","0.527","0.66","35","40","2","2","48","0.1","15","172","20","0.01","8","0.5","""1682933685""","4429.26883140275","4429.26883140275","4429.26883140275","0","4429.26883140275"
"1","12","500","3","0.527","0.66","35","40","2","2","48","0.1","15","172","20","0.01","8","0.5","""-1975494736""","3691.893796940508","3691.893796940508","3691.893796940508","0","3691.893796940508"
"1","13","500","3","0.527","0.66","35","40","2","2","48","0.1","15","172","20","0.01","8","0.5","""-417969468""","2704.3732409913905","2704.3732409913905","2704.3732409913905","0","2704.3732409913905"
"1","14","500","3","0.527","0.66","35","40","2","2","48","0.1","15","172","20","0.01","8","0.5","""-1681817320""","2865.1524035031025","2865.1524035031025","2865.1524035031025","0","2865.1524035031025"
"1","15","500","3","0.527","0.66","35","40","2","2","48","0.1","15","172","20","0.01","8","0.5","""-390862795""","5088.790080454271","5088.790080454271","5088.790080454271","0","5088.790080454271"
"1","16","500","3","0.527","0.66","35","40","2","2","48","0.1","15","172","20","0.01","8","0.5","""1755380129""","6639.678101310625","6639.678101310625","6639.678101310625","0","6639.678101310625"
"1","17","500","3","0.527","0.66","35","40","2","2","48","0.1","15","172","20","0.01","8","0.5","""-674037019""","743.3681095831157","743.3681095831157","743.3681095831157","0","743.3681095831157"
"1","18","500","3","0.527","0.66","35","40","2","2","48","0.1","15","172","20","0.01","8","0.5","""-2110762501""","3315.2916967751344","3315.2916967751344","3315.2916967751344","0","3315.2916967751344"
"1","19","500","3","0.527","0.66","35","40","2","2","48","0.1","15","172","20","0.01","8","0.5","""-626516167""","1946.3177743667993","1946.3177743667993","1946.3177743667993","0","1946.3177743667993"
"1","20","500","3","0.527","0.66","35","40","2","2","48","0.1","15","172","20","0.01","8","0.5","""621735277""","3297.625212420759","3297.625212420759","3297.625212420759","0","3297.625212420759"
"1","21","500","3","0.527","0.66","35","20","2","2","48","0.1","15","54","20","0.01","8","0.5","""-469271256""","922.1518323879901","922.1518323879901","922.1518323879901","0","922.1518323879901"
"1","22","500","3","0.527","0.66","35","20","2","2","48","0.1","15","54","20","0.01","8","0.5","""-1869874550""","-145.3859079966977","-145.3859079966977","-145.3859079966977","0","-145.3859079966977"
