"search-number","evaluation","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","fitness","num-replicates","best-fitness-so-far"
"1","10","3","0.527","0.66","35","38","2","2","48","0.1","15","142","20","0.01","8","0.5","2965.587825626348","10","2965.587825626348"
"1","20","3","0.527","0.66","35","40","2","2","48","0.1","15","172","20","0.01","8","0.5","3472.175924774845","10","2965.587825626348"
"1","30","3","0.527","0.66","35","20","2","2","48","0.1","15","54","20","0.01","8","0.5","347.8929400916066","10","347.8929400916066"
"1","40","3","0.527","0.66","35","32","2","1","48","0.1","15","123","20","0.01","8","0.5","1219.1725979778553","10","347.8929400916066"
"1","50","3","0.527","0.66","35","10","2","1","48","0.1","15","75","20","0.01","8","0.5","579.4524600965648","10","347.8929400916066"
"1","60","3","0.527","0.66","35","32","2","1","48","0.1","15","128","20","0.01","8","0.5","1586.4183014766727","10","347.8929400916066"
"1","70","3","0.527","0.66","35","16","2","3","48","0.1","15","77","20","0.01","8","0.5","2771.7119874929194","10","347.8929400916066"
"1","80","3","0.527","0.66","35","26","2","2","48","0.1","15","194","20","0.01","8","0.5","5131.858542881726","10","347.8929400916066"
"1","90","3","0.527","0.66","35","36","2","1","48","0.1","15","104","20","0.01","8","0.5","458.88503289600465","10","347.8929400916066"
"1","100","3","0.527","0.66","35","22","2","3","48","0.1","15","44","20","0.01","8","0.5","661.0131652523447","10","347.8929400916066"
"1","110","3","0.527","0.66","35","46","2","3","48","0.1","15","174","20","0.01","8","0.5","4467.293097544267","10","347.8929400916066"
"1","120","3","0.527","0.66","35","38","2","2","48","0.1","15","150","20","0.01","8","0.5","2588.3771072236673","10","347.8929400916066"
"1","130","3","0.527","0.66","35","48","2","2","48","0.1","15","117","20","0.01","8","0.5","2174.971736470788","10","347.8929400916066"
"1","140","3","0.527","0.66","35","20","2","3","48","0.1","15","186","20","0.01","8","0.5","5942.979917455157","10","347.8929400916066"
"1","150","3","0.527","0.66","35","46","2","1","48","0.1","15","92","20","0.01","8","0.5","624.0183627193276","10","347.8929400916066"
"1","160","3","0.527","0.66","35","44","2","2","48","0.1","15","22","20","0.01","8","0.5","-45.81567119713427","10","-45.81567119713427"
"1","170","3","0.527","0.66","35","10","2","2","48","0.1","15","51","20","0.01","8","0.5","224.44542837234204","10","-45.81567119713427"
"1","180","3","0.527","0.66","35","24","2","1","48","0.1","15","18","20","0.01","8","0.5","-409.1352302513422","10","-409.1352302513422"
"1","190","3","0.527","0.66","35","48","2","2","48","0.1","15","18","20","0.01","8","0.5","-71.95054800484267","10","-409.1352302513422"
"1","200","3","0.527","0.66","35","16","2","2","48","0.1","15","170","20","0.01","8","0.5","2627.563280556839","10","-409.1352302513422"
"1","210","3","0.527","0.66","35","26","2","2","48","0.1","15","191","20","0.01","8","0.5","4461.10828241516","10","-409.1352302513422"
"1","220","3","0.527","0.66","35","24","2","2","48","0.1","15","81","20","0.01","8","0.5","952.896070133034","10","-409.1352302513422"
"1","230","3","0.527","0.66","35","16","2","2","48","0.1","15","85","20","0.01","8","0.5","973.643558021754","10","-409.1352302513422"
"1","240","3","0.527","0.66","35","36","2","3","48","0.1","15","187","20","0.01","8","0.5","6254.181931306719","10","-409.1352302513422"
"1","250","3","0.527","0.66","35","48","2","1","48","0.1","15","184","20","0.01","8","0.5","1669.787052661521","10","-409.1352302513422"
"1","260","3","0.527","0.66","35","20","2","3","48","0.1","15","3","20","0.01","8","0.5","-587.7305096824205","10","-587.7305096824205"
"1","270","3","0.527","0.66","35","32","2","3","48","0.1","15","164","20","0.01","8","0.5","5574.828786251886","10","-587.7305096824205"
"1","280","3","0.527","0.66","35","18","2","1","48","0.1","15","124","20","0.01","8","0.5","1211.154468001223","10","-587.7305096824205"
"1","290","3","0.527","0.66","35","34","2","2","48","0.1","15","115","20","0.01","8","0.5","2646.096233977839","10","-587.7305096824205"
"1","300","3","0.527","0.66","35","36","2","2","48","0.1","15","194","20","0.01","8","0.5","3939.7495357752778","10","-587.7305096824205"
"1","310","3","0.527","0.66","35","40","2","2","48","0.1","15","195","20","0.01","8","0.5","4404.940993628429","10","-587.7305096824205"
"1","320","3","0.527","0.66","35","20","2","3","48","0.1","15","160","20","0.01","8","0.5","6755.566143147063","10","-587.7305096824205"
"1","330","3","0.527","0.66","35","20","2","2","48","0.1","15","105","20","0.01","8","0.5","1104.384886663856","10","-587.7305096824205"
"1","340","3","0.527","0.66","35","18","2","1","48","0.1","15","103","20","0.01","8","0.5","841.2865075272382","10","-587.7305096824205"
