"search-number","evaluation","evals-requested-so-far","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","250","3","0.527","0.66","35","12","2","2","48","0.1","15","130","20","0.01","8","0.5","""-727615691""","2511.935420345275","2511.935420345275","2511.935420345275","0","2511.935420345275"
"1","2","250","3","0.527","0.66","35","12","2","2","48","0.1","15","130","20","0.01","8","0.5","""1338136605""","3135.262437430307","3135.262437430307","3135.262437430307","0","3135.262437430307"
"1","3","250","3","0.527","0.66","35","12","2","2","48","0.1","15","130","20","0.01","8","0.5","""-1150172337""","6910.505761512777","6910.505761512777","6910.505761512777","0","6910.505761512777"
"1","4","250","3","0.527","0.66","35","12","2","2","48","0.1","15","130","20","0.01","8","0.5","""-1810370302""","7177.577690586771","7177.577690586771","7177.577690586771","0","7177.577690586771"
"1","5","250","3","0.527","0.66","35","12","2","2","48","0.1","15","130","20","0.01","8","0.5","""2076456012""","1390.891818112376","1390.891818112376","1390.891818112376","0","1390.891818112376"
"1","6","250","3","0.527","0.66","35","28","2","1","48","0.1","15","102","20","0.01","8","0.5","""1792159163""","1161.5839508026224","1161.5839508026224","1161.5839508026224","0","1161.5839508026224"
"1","7","250","3","0.527","0.66","35","28","2","1","48","0.1","15","102","20","0.01","8","0.5","""-1164887378""","-1404.8395629981426","-1404.8395629981426","-1404.8395629981426","0","-1404.8395629981426"
"1","8","250","3","0.527","0.66","35","28","2","1","48","0.1","15","102","20","0.01","8","0.5","""-502018504""","976.4919911729833","976.4919911729833","976.4919911729833","0","976.4919911729833"
"1","9","250","3","0.527","0.66","35","28","2","1","48","0.1","15","102","20","0.01","8","0.5","""-803733405""","777.3493332946596","777.3493332946596","777.3493332946596","0","777.3493332946596"
"1","10","250","3","0.527","0.66","35","28","2","1","48","0.1","15","102","20","0.01","8","0.5","""-1819042992""","-90.0370563447816","-90.0370563447816","-90.0370563447816","0","-90.0370563447816"
"1","11","250","3","0.527","0.66","35","48","2","2","48","0.1","15","176","20","0.01","8","0.5","""-1389506142""","4672.13405532637","4672.13405532637","4672.13405532637","0","4672.13405532637"
"1","12","250","3","0.527","0.66","35","48","2","2","48","0.1","15","176","20","0.01","8","0.5","""-1891755867""","3733.4858386914743","3733.4858386914743","3733.4858386914743","0","3733.4858386914743"
"1","13","250","3","0.527","0.66","35","48","2","2","48","0.1","15","176","20","0.01","8","0.5","""1621344494""","2844.196523601323","2844.196523601323","2844.196523601323","0","2844.196523601323"
"1","14","250","3","0.527","0.66","35","48","2","2","48","0.1","15","176","20","0.01","8","0.5","""-813488599""","4239.910132521008","4239.910132521008","4239.910132521008","0","4239.910132521008"
"1","15","250","3","0.527","0.66","35","48","2","2","48","0.1","15","176","20","0.01","8","0.5","""-471825336""","2936.8721469792554","2936.8721469792554","2936.8721469792554","0","2936.8721469792554"
"1","16","250","3","0.527","0.66","35","48","2","1","48","0.1","15","160","20","0.01","8","0.5","""1535344563""","1004.1196465271519","1004.1196465271519","1004.1196465271519","0","1004.1196465271519"
"1","17","250","3","0.527","0.66","35","48","2","1","48","0.1","15","160","20","0.01","8","0.5","""-1829457545""","1089.8582742908093","1089.8582742908093","1089.8582742908093","0","1089.8582742908093"
"1","18","250","3","0.527","0.66","35","48","2","1","48","0.1","15","160","20","0.01","8","0.5","""-1522018999""","1446.4636298737737","1446.4636298737737","1446.4636298737737","0","1446.4636298737737"
"1","19","250","3","0.527","0.66","35","48","2","1","48","0.1","15","160","20","0.01","8","0.5","""2092918087""","989.6679620731404","989.6679620731404","989.6679620731404","0","989.6679620731404"
"1","20","250","3","0.527","0.66","35","48","2","1","48","0.1","15","160","20","0.01","8","0.5","""998658023""","2856.973738923771","2856.973738923771","2856.973738923771","0","2856.973738923771"
"1","21","250","3","0.527","0.66","35","46","2","3","48","0.1","15","162","20","0.01","8","0.5","""1068663089""","4871.150407531983","4871.150407531983","4871.150407531983","0","4871.150407531983"
"1","22","250","3","0.527","0.66","35","46","2","3","48","0.1","15","162","20","0.01","8","0.5","""154622185""","4208.401195877113","4208.401195877113","4208.401195877113","0","4208.401195877113"
"1","23","250","3","0.527","0.66","35","46","2","3","48","0.1","15","162","20","0.01","8","0.5","""570969481""","7461.865928346333","7461.865928346333","7461.865928346333","0","7461.865928346333"
"1","24","250","3","0.527","0.66","35","46","2","3","48","0.1","15","162","20","0.01","8","0.5","""334463886""","7213.036498666317","7213.036498666317","7213.036498666317","0","7213.036498666317"
"1","25","250","3","0.527","0.66","35","46","2","3","48","0.1","15","162","20","0.01","8","0.5","""-1102396257""","2900.5373024369364","2900.5373024369364","2900.5373024369364","0","2900.5373024369364"
"1","26","250","3","0.527","0.66","35","40","2","3","48","0.1","15","100","20","0.01","8","0.5","""-326376356""","3439.9782120640243","3439.9782120640243","3439.9782120640243","0","3439.9782120640243"
"1","27","250","3","0.527","0.66","35","40","2","3","48","0.1","15","100","20","0.01","8","0.5","""1211091271""","4628.1937379918945","4628.1937379918945","4628.1937379918945","0","4628.1937379918945"
"1","28","250","3","0.527","0.66","35","40","2","3","48","0.1","15","100","20","0.01","8","0.5","""879652986""","3676.967325227064","3676.967325227064","3676.967325227064","0","3676.967325227064"
"1","29","250","3","0.527","0.66","35","40","2","3","48","0.1","15","100","20","0.01","8","0.5","""-72909875""","3925.2730546056473","3925.2730546056473","3925.2730546056473","0","3925.2730546056473"
"1","30","250","3","0.527","0.66","35","40","2","3","48","0.1","15","100","20","0.01","8","0.5","""1020313067""","3221.361224429747","3221.361224429747","3221.361224429747","0","3221.361224429747"
"1","31","250","3","0.527","0.66","35","40","2","2","48","0.1","15","82","20","0.01","8","0.5","""1887952455""","3056.195123346792","3056.195123346792","3056.195123346792","0","3056.195123346792"
"1","32","250","3","0.527","0.66","35","40","2","2","48","0.1","15","82","20","0.01","8","0.5","""682051574""","597.6682776910212","597.6682776910212","597.6682776910212","0","597.6682776910212"
"1","33","250","3","0.527","0.66","35","40","2","2","48","0.1","15","82","20","0.01","8","0.5","""2118907859""","1438.8957182279971","1438.8957182279971","1438.8957182279971","0","1438.8957182279971"
"1","34","250","3","0.527","0.66","35","40","2","2","48","0.1","15","82","20","0.01","8","0.5","""-852367029""","780.3515698640481","780.3515698640481","780.3515698640481","0","780.3515698640481"
"1","35","250","3","0.527","0.66","35","40","2","2","48","0.1","15","82","20","0.01","8","0.5","""661203589""","1553.214686775827","1553.214686775827","1553.214686775827","0","1553.214686775827"
"1","36","250","3","0.527","0.66","35","26","2","3","48","0.1","15","107","20","0.01","8","0.5","""1523551343""","1164.88373762883","1164.88373762883","1164.88373762883","0","1164.88373762883"
"1","37","250","3","0.527","0.66","35","26","2","3","48","0.1","15","107","20","0.01","8","0.5","""-689079889""","2429.478667354625","2429.478667354625","2429.478667354625","0","2429.478667354625"
"1","38","250","3","0.527","0.66","35","26","2","3","48","0.1","15","107","20","0.01","8","0.5","""343813880""","2351.6964053095016","2351.6964053095016","2351.6964053095016","0","2351.6964053095016"
"1","39","250","3","0.527","0.66","35","26","2","3","48","0.1","15","107","20","0.01","8","0.5","""1160678828""","8258.660318950428","8258.660318950428","8258.660318950428","0","8258.660318950428"
"1","40","250","3","0.527","0.66","35","26","2","3","48","0.1","15","107","20","0.01","8","0.5","""1584764890""","2002.7104912472198","2002.7104912472198","2002.7104912472198","0","2002.7104912472198"
"1","41","250","3","0.527","0.66","35","18","2","1","48","0.1","15","176","20","0.01","8","0.5","""-236765796""","3385.5240875336463","3385.5240875336463","3385.5240875336463","0","3385.5240875336463"
"1","42","250","3","0.527","0.66","35","18","2","1","48","0.1","15","176","20","0.01","8","0.5","""-1612155310""","3515.703197460968","3515.703197460968","3515.703197460968","0","3515.703197460968"
"1","43","250","3","0.527","0.66","35","18","2","1","48","0.1","15","176","20","0.01","8","0.5","""1464474615""","-558.9141194458529","-558.9141194458529","-558.9141194458529","0","-558.9141194458529"
"1","44","250","3","0.527","0.66","35","18","2","1","48","0.1","15","176","20","0.01","8","0.5","""-1007337166""","1799.0548511688025","1799.0548511688025","1799.0548511688025","0","1799.0548511688025"
"1","45","250","3","0.527","0.66","35","18","2","1","48","0.1","15","176","20","0.01","8","0.5","""1709306298""","2031.6427412546595","2031.6427412546595","2031.6427412546595","0","2031.6427412546595"
"1","46","250","3","0.527","0.66","35","46","2","1","48","0.1","15","26","20","0.01","8","0.5","""-383618406""","-134.8188435512942","-134.8188435512942","-134.8188435512942","0","-134.8188435512942"
"1","47","250","3","0.527","0.66","35","46","2","1","48","0.1","15","26","20","0.01","8","0.5","""-421623808""","-417.4685108338485","-417.4685108338485","-417.4685108338485","0","-417.4685108338485"
"1","48","250","3","0.527","0.66","35","46","2","1","48","0.1","15","26","20","0.01","8","0.5","""-1885754863""","98.06784723222543","98.06784723222543","98.06784723222543","0","98.06784723222543"
"1","49","250","3","0.527","0.66","35","46","2","1","48","0.1","15","26","20","0.01","8","0.5","""1482666510""","245.05270806045337","245.05270806045337","245.05270806045337","0","245.05270806045337"
"1","50","250","3","0.527","0.66","35","46","2","1","48","0.1","15","26","20","0.01","8","0.5","""-1251574217""","314.5177639431812","314.5177639431812","314.5177639431812","0","314.5177639431812"
"1","51","250","3","0.527","0.66","35","26","2","3","48","0.1","15","23","20","0.01","8","0.5","""965718259""","136.02564299542792","136.02564299542792","136.02564299542792","0","136.02564299542792"
"1","52","250","3","0.527","0.66","35","26","2","3","48","0.1","15","23","20","0.01","8","0.5","""-354273873""","584.4923452882294","584.4923452882294","584.4923452882294","0","584.4923452882294"
"1","53","250","3","0.527","0.66","35","26","2","3","48","0.1","15","23","20","0.01","8","0.5","""-323965088""","-743.525257457166","-743.525257457166","-743.525257457166","0","-743.525257457166"
"1","54","250","3","0.527","0.66","35","26","2","3","48","0.1","15","23","20","0.01","8","0.5","""-2072032872""","341.13395998547446","341.13395998547446","341.13395998547446","0","341.13395998547446"
"1","55","250","3","0.527","0.66","35","26","2","3","48","0.1","15","23","20","0.01","8","0.5","""2004394624""","-252.4393170332911","-252.4393170332911","-252.4393170332911","0","-252.4393170332911"
