"search-number","evaluation","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","fitness","num-replicates","best-fitness-so-far"
"1","5","3","0.527","0.66","35","12","2","2","48","0.1","15","130","20","0.01","8","0.5","4225.234625597501","5","4225.234625597501"
"1","10","3","0.527","0.66","35","28","2","1","48","0.1","15","102","20","0.01","8","0.5","284.1097311854682","5","284.1097311854682"
"1","15","3","0.527","0.66","35","48","2","2","48","0.1","15","176","20","0.01","8","0.5","3685.319739423886","5","284.1097311854682"
"1","20","3","0.527","0.66","35","48","2","1","48","0.1","15","160","20","0.01","8","0.5","1477.4166503377292","5","284.1097311854682"
"1","25","3","0.527","0.66","35","46","2","3","48","0.1","15","162","20","0.01","8","0.5","5330.998266571736","5","284.1097311854682"
"1","30","3","0.527","0.66","35","40","2","3","48","0.1","15","100","20","0.01","8","0.5","3778.3547108636753","5","284.1097311854682"
"1","35","3","0.527","0.66","35","40","2","2","48","0.1","15","82","20","0.01","8","0.5","1485.2650751811373","5","284.1097311854682"
"1","40","3","0.527","0.66","35","26","2","3","48","0.1","15","107","20","0.01","8","0.5","3241.4859240981214","5","284.1097311854682"
"1","45","3","0.527","0.66","35","18","2","1","48","0.1","15","176","20","0.01","8","0.5","2034.6021515944449","5","284.1097311854682"
"1","50","3","0.527","0.66","35","46","2","1","48","0.1","15","26","20","0.01","8","0.5","21.070192970143466","5","21.070192970143466"
"1","55","3","0.527","0.66","35","26","2","3","48","0.1","15","23","20","0.01","8","0.5","13.137474755734933","5","13.137474755734933"
"1","60","3","0.527","0.66","35","10","2","1","48","0.1","15","126","20","0.01","8","0.5","316.74654235422537","5","13.137474755734933"
"1","65","3","0.527","0.66","35","46","2","3","48","0.1","15","176","20","0.01","8","0.5","5222.16321405144","5","13.137474755734933"
"1","70","3","0.527","0.66","35","10","2","3","48","0.1","15","149","20","0.01","8","0.5","7209.795623050779","5","13.137474755734933"
"1","75","3","0.527","0.66","35","50","2","2","48","0.1","15","165","20","0.01","8","0.5","2555.9983743840116","5","13.137474755734933"
"1","80","3","0.527","0.66","35","20","2","2","48","0.1","15","21","20","0.01","8","0.5","-33.384310728801815","5","-33.384310728801815"
"1","85","3","0.527","0.66","35","30","2","1","48","0.1","15","119","20","0.01","8","0.5","478.5502597958034","5","-33.384310728801815"
"1","90","3","0.527","0.66","35","20","2","3","48","0.1","15","112","20","0.01","8","0.5","3215.136941300679","5","-33.384310728801815"
"1","95","3","0.527","0.66","35","48","2","1","48","0.1","15","4","20","0.01","8","0.5","-429.3755632929172","5","-429.3755632929172"
