"search-number","evaluation","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","num-replicates","best-fitness-so-far"
"1","5","3","0.527","0.66","35","32","2","2","48","0.1","15","128","20","0.01","8","0.5","5","3387.0270387691126"
"1","15","3","0.527","0.66","35","28","2","3","48","0.1","15","68","20","0.01","8","0.5","5","2869.245909983899"
"1","25","3","0.527","0.66","35","18","2","3","48","0.1","15","27","20","0.01","8","0.5","5","666.4542662259042"
"1","40","3","0.527","0.66","35","42","2","1","48","0.1","15","49","20","0.01","8","0.5","5","99.23180438524403"
"1","60","3","0.527","0.66","35","14","2","2","48","0.1","15","11","20","0.01","8","0.5","5","-27.121368597096854"
"1","85","3","0.527","0.66","35","10","2","1","48","0.1","15","12","20","0.01","8","0.5","5","-220.18666829575005"
"1","160","3","0.527","0.66","35","48","2","2","48","0.1","15","0","20","0.01","8","0.5","5","-305.1555345146242"
"1","255","3","0.527","0.66","35","30","2","2","48","0.1","15","0","20","0.01","8","0.5","5","-344.2322537553665"
"1","320","3","0.527","0.66","35","42","2","1","48","0.1","15","0","20","0.01","8","0.5","5","-376.3332050708476"
"1","330","3","0.527","0.66","35","10","2","1","48","0.1","15","0","20","0.01","8","0.5","5","-567.0367325445394"
