"search-number","evaluation","evals-requested-so-far","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","250","3","0.527","0.66","35","32","2","2","48","0.1","15","128","20","0.01","8","0.5","""572613171""","3804.365394822275","3804.365394822275","3804.365394822275","0","3804.365394822275"
"1","2","250","3","0.527","0.66","35","32","2","2","48","0.1","15","128","20","0.01","8","0.5","""-1176561422""","1283.2384459193315","1283.2384459193315","1283.2384459193315","0","1283.2384459193315"
"1","3","250","3","0.527","0.66","35","32","2","2","48","0.1","15","128","20","0.01","8","0.5","""-818886433""","5022.043408643521","5022.043408643521","5022.043408643521","0","5022.043408643521"
"1","4","250","3","0.527","0.66","35","32","2","2","48","0.1","15","128","20","0.01","8","0.5","""883261544""","4501.060826133079","4501.060826133079","4501.060826133079","0","4501.060826133079"
"1","5","250","3","0.527","0.66","35","32","2","2","48","0.1","15","128","20","0.01","8","0.5","""329734014""","2324.4271183273563","2324.4271183273563","2324.4271183273563","0","2324.4271183273563"
"1","6","250","3","0.527","0.66","35","32","2","3","48","0.1","15","199","20","0.01","8","0.5","""-1560256016""","10546.062504632857","10546.062504632857","10546.062504632857","0","10546.062504632857"
"1","7","250","3","0.527","0.66","35","32","2","3","48","0.1","15","199","20","0.01","8","0.5","""-502472802""","4984.190538972318","4984.190538972318","4984.190538972318","0","4984.190538972318"
"1","8","250","3","0.527","0.66","35","32","2","3","48","0.1","15","199","20","0.01","8","0.5","""1679111567""","10744.427033533664","10744.427033533664","10744.427033533664","0","10744.427033533664"
"1","9","250","3","0.527","0.66","35","32","2","3","48","0.1","15","199","20","0.01","8","0.5","""775875824""","5548.565585346931","5548.565585346931","5548.565585346931","0","5548.565585346931"
"1","10","250","3","0.527","0.66","35","32","2","3","48","0.1","15","199","20","0.01","8","0.5","""1570337535""","7457.0278925539815","7457.0278925539815","7457.0278925539815","0","7457.0278925539815"
"1","11","250","3","0.527","0.66","35","28","2","3","48","0.1","15","68","20","0.01","8","0.5","""432328361""","2008.535533869864","2008.535533869864","2008.535533869864","0","2008.535533869864"
"1","12","250","3","0.527","0.66","35","28","2","3","48","0.1","15","68","20","0.01","8","0.5","""-16454844""","2751.2821797058987","2751.2821797058987","2751.2821797058987","0","2751.2821797058987"
"1","13","250","3","0.527","0.66","35","28","2","3","48","0.1","15","68","20","0.01","8","0.5","""-588392378""","2156.9248564161508","2156.9248564161508","2156.9248564161508","0","2156.9248564161508"
"1","14","250","3","0.527","0.66","35","28","2","3","48","0.1","15","68","20","0.01","8","0.5","""-1065920962""","1721.263476713068","1721.263476713068","1721.263476713068","0","1721.263476713068"
"1","15","250","3","0.527","0.66","35","28","2","3","48","0.1","15","68","20","0.01","8","0.5","""-2116283474""","5708.223503214514","5708.223503214514","5708.223503214514","0","5708.223503214514"
"1","16","250","3","0.527","0.66","35","32","2","3","48","0.1","15","198","20","0.01","8","0.5","""-1431476794""","10806.959920396112","10806.959920396112","10806.959920396112","0","10806.959920396112"
"1","17","250","3","0.527","0.66","35","32","2","3","48","0.1","15","198","20","0.01","8","0.5","""591432457""","8037.995740740064","8037.995740740064","8037.995740740064","0","8037.995740740064"
"1","18","250","3","0.527","0.66","35","32","2","3","48","0.1","15","198","20","0.01","8","0.5","""65784883""","11523.99513366302","11523.99513366302","11523.99513366302","0","11523.99513366302"
"1","19","250","3","0.527","0.66","35","32","2","3","48","0.1","15","198","20","0.01","8","0.5","""1062420452""","13964.988490595357","13964.988490595357","13964.988490595357","0","13964.988490595357"
"1","20","250","3","0.527","0.66","35","32","2","3","48","0.1","15","198","20","0.01","8","0.5","""1937328653""","10506.127574410788","10506.127574410788","10506.127574410788","0","10506.127574410788"
"1","21","250","3","0.527","0.66","35","18","2","3","48","0.1","15","27","20","0.01","8","0.5","""-1551968309""","215.1055482343345","215.1055482343345","215.1055482343345","0","215.1055482343345"
"1","22","250","3","0.527","0.66","35","18","2","3","48","0.1","15","27","20","0.01","8","0.5","""1152875704""","658.8091065214496","658.8091065214496","658.8091065214496","0","658.8091065214496"
"1","23","250","3","0.527","0.66","35","18","2","3","48","0.1","15","27","20","0.01","8","0.5","""2113059971""","1204.0393801511268","1204.0393801511268","1204.0393801511268","0","1204.0393801511268"
"1","24","250","3","0.527","0.66","35","18","2","3","48","0.1","15","27","20","0.01","8","0.5","""234197233""","243.31774996957506","243.31774996957506","243.31774996957506","0","243.31774996957506"
"1","25","250","3","0.527","0.66","35","18","2","3","48","0.1","15","27","20","0.01","8","0.5","""-1659446964""","1010.9995462530353","1010.9995462530353","1010.9995462530353","0","1010.9995462530353"
"1","26","250","3","0.527","0.66","35","48","2","2","48","0.1","15","142","20","0.01","8","0.5","""-1691349852""","3433.301005327794","3433.301005327794","3433.301005327794","0","3433.301005327794"
"1","27","250","3","0.527","0.66","35","48","2","2","48","0.1","15","142","20","0.01","8","0.5","""-1410381273""","3401.929414205134","3401.929414205134","3401.929414205134","0","3401.929414205134"
"1","28","250","3","0.527","0.66","35","48","2","2","48","0.1","15","142","20","0.01","8","0.5","""-1894631410""","2776.5034254327543","2776.5034254327543","2776.5034254327543","0","2776.5034254327543"
"1","29","250","3","0.527","0.66","35","48","2","2","48","0.1","15","142","20","0.01","8","0.5","""-2011458726""","4980.7010137918705","4980.7010137918705","4980.7010137918705","0","4980.7010137918705"
"1","30","250","3","0.527","0.66","35","48","2","2","48","0.1","15","142","20","0.01","8","0.5","""-1073278089""","1354.02669326497","1354.02669326497","1354.02669326497","0","1354.02669326497"
"1","31","250","3","0.527","0.66","35","20","2","1","48","0.1","15","107","20","0.01","8","0.5","""-975147415""","1315.5461252879134","1315.5461252879134","1315.5461252879134","0","1315.5461252879134"
"1","32","250","3","0.527","0.66","35","20","2","1","48","0.1","15","107","20","0.01","8","0.5","""1171479646""","2064.915762432534","2064.915762432534","2064.915762432534","0","2064.915762432534"
"1","33","250","3","0.527","0.66","35","20","2","1","48","0.1","15","107","20","0.01","8","0.5","""-1182751899""","1274.9849202179605","1274.9849202179605","1274.9849202179605","0","1274.9849202179605"
"1","34","250","3","0.527","0.66","35","20","2","1","48","0.1","15","107","20","0.01","8","0.5","""-178951912""","1469.1022656358307","1469.1022656358307","1469.1022656358307","0","1469.1022656358307"
"1","35","250","3","0.527","0.66","35","20","2","1","48","0.1","15","107","20","0.01","8","0.5","""-1639178438""","2790.06113075715","2790.06113075715","2790.06113075715","0","2790.06113075715"
"1","36","250","3","0.527","0.66","35","42","2","1","48","0.1","15","49","20","0.01","8","0.5","""-270755375""","-212.79852914881258","-212.79852914881258","-212.79852914881258","0","-212.79852914881258"
"1","37","250","3","0.527","0.66","35","42","2","1","48","0.1","15","49","20","0.01","8","0.5","""1847983738""","-268.822425742235","-268.822425742235","-268.822425742235","0","-268.822425742235"
"1","38","250","3","0.527","0.66","35","42","2","1","48","0.1","15","49","20","0.01","8","0.5","""1711374174""","148.0480026415098","148.0480026415098","148.0480026415098","0","148.0480026415098"
"1","39","250","3","0.527","0.66","35","42","2","1","48","0.1","15","49","20","0.01","8","0.5","""-1754598697""","529.9282204266818","529.9282204266818","529.9282204266818","0","529.9282204266818"
"1","40","250","3","0.527","0.66","35","42","2","1","48","0.1","15","49","20","0.01","8","0.5","""-1536337381""","299.80375374907607","299.80375374907607","299.80375374907607","0","299.80375374907607"
"1","41","250","3","0.527","0.66","35","20","2","3","48","0.1","15","56","20","0.01","8","0.5","""1339185031""","2279.662971488416","2279.662971488416","2279.662971488416","0","2279.662971488416"
"1","42","250","3","0.527","0.66","35","20","2","3","48","0.1","15","56","20","0.01","8","0.5","""-932012200""","1965.093085328595","1965.093085328595","1965.093085328595","0","1965.093085328595"
"1","43","250","3","0.527","0.66","35","20","2","3","48","0.1","15","56","20","0.01","8","0.5","""727094137""","2211.7274622196755","2211.7274622196755","2211.7274622196755","0","2211.7274622196755"
"1","44","250","3","0.527","0.66","35","20","2","3","48","0.1","15","56","20","0.01","8","0.5","""1483485644""","3782.251013830962","3782.251013830962","3782.251013830962","0","3782.251013830962"
"1","45","250","3","0.527","0.66","35","20","2","3","48","0.1","15","56","20","0.01","8","0.5","""990028863""","1703.6041003818104","1703.6041003818104","1703.6041003818104","0","1703.6041003818104"
"1","46","250","3","0.527","0.66","35","46","2","3","48","0.1","15","12","20","0.01","8","0.5","""-1152231009""","-507.25610611440754","-507.25610611440754","-507.25610611440754","0","-507.25610611440754"
"1","47","250","3","0.527","0.66","35","46","2","3","48","0.1","15","12","20","0.01","8","0.5","""-184056402""","125.80818689556776","125.80818689556776","125.80818689556776","0","125.80818689556776"
"1","48","250","3","0.527","0.66","35","46","2","3","48","0.1","15","12","20","0.01","8","0.5","""-764351021""","133.98129731532697","133.98129731532697","133.98129731532697","0","133.98129731532697"
"1","49","250","3","0.527","0.66","35","46","2","3","48","0.1","15","12","20","0.01","8","0.5","""-478153082""","721.2003199133418","721.2003199133418","721.2003199133418","0","721.2003199133418"
"1","50","250","3","0.527","0.66","35","46","2","3","48","0.1","15","12","20","0.01","8","0.5","""-1028922461""","290.1822319401177","290.1822319401177","290.1822319401177","0","290.1822319401177"
"1","51","250","3","0.527","0.66","35","20","2","2","48","0.1","15","174","20","0.01","8","0.5","""-1758486643""","5404.729816893216","5404.729816893216","5404.729816893216","0","5404.729816893216"
"1","52","250","3","0.527","0.66","35","20","2","2","48","0.1","15","174","20","0.01","8","0.5","""-681510900""","7998.382697897222","7998.382697897222","7998.382697897222","0","7998.382697897222"
"1","53","250","3","0.527","0.66","35","20","2","2","48","0.1","15","174","20","0.01","8","0.5","""-315375702""","3701.034036585421","3701.034036585421","3701.034036585421","0","3701.034036585421"
"1","54","250","3","0.527","0.66","35","20","2","2","48","0.1","15","174","20","0.01","8","0.5","""907112159""","4397.015287466858","4397.015287466858","4397.015287466858","0","4397.015287466858"
"1","55","250","3","0.527","0.66","35","20","2","2","48","0.1","15","174","20","0.01","8","0.5","""-1417377830""","2419.8939075487256","2419.8939075487256","2419.8939075487256","0","2419.8939075487256"
"1","56","250","3","0.527","0.66","35","14","2","2","48","0.1","15","11","20","0.01","8","0.5","""1404879146""","-162.68703542937652","-162.68703542937652","-162.68703542937652","0","-162.68703542937652"
"1","57","250","3","0.527","0.66","35","14","2","2","48","0.1","15","11","20","0.01","8","0.5","""-384264205""","-170.81976577704035","-170.81976577704035","-170.81976577704035","0","-170.81976577704035"
"1","58","250","3","0.527","0.66","35","14","2","2","48","0.1","15","11","20","0.01","8","0.5","""-139080256""","43.95405555926607","43.95405555926607","43.95405555926607","0","43.95405555926607"
"1","59","250","3","0.527","0.66","35","14","2","2","48","0.1","15","11","20","0.01","8","0.5","""-1070579967""","130.74990528704313","130.74990528704313","130.74990528704313","0","130.74990528704313"
"1","60","250","3","0.527","0.66","35","14","2","2","48","0.1","15","11","20","0.01","8","0.5","""-837140814""","23.195997374623403","23.195997374623403","23.195997374623403","0","23.195997374623403"
"1","61","250","3","0.527","0.66","35","18","2","3","48","0.1","15","83","20","0.01","8","0.5","""-1949160753""","2716.204506626994","2716.204506626994","2716.204506626994","0","2716.204506626994"
"1","62","250","3","0.527","0.66","35","18","2","3","48","0.1","15","83","20","0.01","8","0.5","""-1274245575""","2319.5185946400024","2319.5185946400024","2319.5185946400024","0","2319.5185946400024"
"1","63","250","3","0.527","0.66","35","18","2","3","48","0.1","15","83","20","0.01","8","0.5","""907709785""","6321.414478039548","6321.414478039548","6321.414478039548","0","6321.414478039548"
"1","64","250","3","0.527","0.66","35","18","2","3","48","0.1","15","83","20","0.01","8","0.5","""-1421597160""","5544.662447256749","5544.662447256749","5544.662447256749","0","5544.662447256749"
"1","65","250","3","0.527","0.66","35","18","2","3","48","0.1","15","83","20","0.01","8","0.5","""-1874658847""","4816.559694001717","4816.559694001717","4816.559694001717","0","4816.559694001717"
"1","66","250","3","0.527","0.66","35","16","2","1","48","0.1","15","73","20","0.01","8","0.5","""2082225663""","968.2965523074854","968.2965523074854","968.2965523074854","0","968.2965523074854"
"1","67","250","3","0.527","0.66","35","16","2","1","48","0.1","15","73","20","0.01","8","0.5","""1149909042""","1419.9321174282852","1419.9321174282852","1419.9321174282852","0","1419.9321174282852"
"1","68","250","3","0.527","0.66","35","16","2","1","48","0.1","15","73","20","0.01","8","0.5","""-1295627730""","880.3406384999598","880.3406384999598","880.3406384999598","0","880.3406384999598"
"1","69","250","3","0.527","0.66","35","16","2","1","48","0.1","15","73","20","0.01","8","0.5","""1086682382""","938.7288850634957","938.7288850634957","938.7288850634957","0","938.7288850634957"
"1","70","250","3","0.527","0.66","35","16","2","1","48","0.1","15","73","20","0.01","8","0.5","""-434660830""","963.1231576798168","963.1231576798168","963.1231576798168","0","963.1231576798168"
"1","71","250","3","0.527","0.66","35","26","2","2","48","0.1","15","101","20","0.01","8","0.5","""52653402""","2519.916678189331","2519.916678189331","2519.916678189331","0","2519.916678189331"
"1","72","250","3","0.527","0.66","35","26","2","2","48","0.1","15","101","20","0.01","8","0.5","""988866795""","1670.9100961329734","1670.9100961329734","1670.9100961329734","0","1670.9100961329734"
"1","73","250","3","0.527","0.66","35","26","2","2","48","0.1","15","101","20","0.01","8","0.5","""705121744""","2178.774062122937","2178.774062122937","2178.774062122937","0","2178.774062122937"
"1","74","250","3","0.527","0.66","35","26","2","2","48","0.1","15","101","20","0.01","8","0.5","""86078226""","3601.908658077664","3601.908658077664","3601.908658077664","0","3601.908658077664"
"1","75","250","3","0.527","0.66","35","26","2","2","48","0.1","15","101","20","0.01","8","0.5","""-208890774""","3755.270513544095","3755.270513544095","3755.270513544095","0","3755.270513544095"
"1","76","250","3","0.527","0.66","35","26","2","3","48","0.1","15","107","20","0.01","8","0.5","""1463324524""","5448.314520859765","5448.314520859765","5448.314520859765","0","5448.314520859765"
"1","77","250","3","0.527","0.66","35","26","2","3","48","0.1","15","107","20","0.01","8","0.5","""971292192""","3361.4032519781895","3361.4032519781895","3361.4032519781895","0","3361.4032519781895"
"1","78","250","3","0.527","0.66","35","26","2","3","48","0.1","15","107","20","0.01","8","0.5","""87559063""","3815.5080372894977","3815.5080372894977","3815.5080372894977","0","3815.5080372894977"
"1","79","250","3","0.527","0.66","35","26","2","3","48","0.1","15","107","20","0.01","8","0.5","""-344043921""","1878.070560804462","1878.070560804462","1878.070560804462","0","1878.070560804462"
"1","80","250","3","0.527","0.66","35","26","2","3","48","0.1","15","107","20","0.01","8","0.5","""-1037538834""","6099.4586444047545","6099.4586444047545","6099.4586444047545","0","6099.4586444047545"
