"search-number","evaluation","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","fitness","num-replicates","best-fitness-so-far"
"1","5","3","0.527","0.66","35","32","2","2","48","0.1","15","128","20","0.01","8","0.5","3387.0270387691126","5","3387.0270387691126"
"1","10","3","0.527","0.66","35","32","2","3","48","0.1","15","199","20","0.01","8","0.5","7856.05471100795","5","3387.0270387691126"
"1","15","3","0.527","0.66","35","28","2","3","48","0.1","15","68","20","0.01","8","0.5","2869.245909983899","5","2869.245909983899"
"1","20","3","0.527","0.66","35","32","2","3","48","0.1","15","198","20","0.01","8","0.5","10968.01337196107","5","2869.245909983899"
"1","25","3","0.527","0.66","35","18","2","3","48","0.1","15","27","20","0.01","8","0.5","666.4542662259042","5","666.4542662259042"
"1","30","3","0.527","0.66","35","48","2","2","48","0.1","15","142","20","0.01","8","0.5","3189.2923104045044","5","666.4542662259042"
"1","35","3","0.527","0.66","35","20","2","1","48","0.1","15","107","20","0.01","8","0.5","1782.9220408662775","5","666.4542662259042"
"1","40","3","0.527","0.66","35","42","2","1","48","0.1","15","49","20","0.01","8","0.5","99.23180438524403","5","99.23180438524403"
"1","45","3","0.527","0.66","35","20","2","3","48","0.1","15","56","20","0.01","8","0.5","2388.467726649892","5","99.23180438524403"
"1","50","3","0.527","0.66","35","46","2","3","48","0.1","15","12","20","0.01","8","0.5","152.78318598998933","5","99.23180438524403"
"1","55","3","0.527","0.66","35","20","2","2","48","0.1","15","174","20","0.01","8","0.5","4784.211149278288","5","99.23180438524403"
"1","60","3","0.527","0.66","35","14","2","2","48","0.1","15","11","20","0.01","8","0.5","-27.121368597096854","5","-27.121368597096854"
"1","65","3","0.527","0.66","35","18","2","3","48","0.1","15","83","20","0.01","8","0.5","4343.671944113003","5","-27.121368597096854"
"1","70","3","0.527","0.66","35","16","2","1","48","0.1","15","73","20","0.01","8","0.5","1034.0842701958086","5","-27.121368597096854"
"1","75","3","0.527","0.66","35","26","2","2","48","0.1","15","101","20","0.01","8","0.5","2745.3560016134","5","-27.121368597096854"
"1","80","3","0.527","0.66","35","26","2","3","48","0.1","15","107","20","0.01","8","0.5","4120.551003067334","5","-27.121368597096854"
"1","85","3","0.527","0.66","35","10","2","1","48","0.1","15","12","20","0.01","8","0.5","-220.18666829575005","5","-220.18666829575005"
"1","90","3","0.527","0.66","35","10","2","3","48","0.1","15","110","20","0.01","8","0.5","7265.308028609697","5","-220.18666829575005"
"1","95","3","0.527","0.66","35","16","2","1","48","0.1","15","57","20","0.01","8","0.5","686.2190916381227","5","-220.18666829575005"
"1","100","3","0.527","0.66","35","14","2","3","48","0.1","15","118","20","0.01","8","0.5","6227.862702795257","5","-220.18666829575005"
"1","105","3","0.527","0.66","35","22","2","3","48","0.1","15","159","20","0.01","8","0.5","6013.500171199503","5","-220.18666829575005"
"1","110","3","0.527","0.66","35","38","2","2","48","0.1","15","138","20","0.01","8","0.5","3474.463915908828","5","-220.18666829575005"
"1","115","3","0.527","0.66","35","26","2","2","48","0.1","15","133","20","0.01","8","0.5","3787.58955993169","5","-220.18666829575005"
"1","120","3","0.527","0.66","35","12","2","2","48","0.1","15","184","20","0.01","8","0.5","7098.147328393499","5","-220.18666829575005"
"1","125","3","0.527","0.66","35","28","2","1","48","0.1","15","145","20","0.01","8","0.5","1645.4328270005176","5","-220.18666829575005"
"1","130","3","0.527","0.66","35","12","2","3","48","0.1","15","129","20","0.01","8","0.5","7138.366011135295","5","-220.18666829575005"
"1","135","3","0.527","0.66","35","34","2","1","48","0.1","15","193","20","0.01","8","0.5","2030.46584907625","5","-220.18666829575005"
"1","140","3","0.527","0.66","35","12","2","3","48","0.1","15","112","20","0.01","8","0.5","5304.708588419901","5","-220.18666829575005"
"1","145","3","0.527","0.66","35","32","2","1","48","0.1","15","149","20","0.01","8","0.5","1364.1285231341144","5","-220.18666829575005"
"1","150","3","0.527","0.66","35","30","2","2","48","0.1","15","101","20","0.01","8","0.5","1690.2543013370039","5","-220.18666829575005"
"1","155","3","0.527","0.66","35","28","2","3","48","0.1","15","189","20","0.01","8","0.5","8204.831525560498","5","-220.18666829575005"
"1","160","3","0.527","0.66","35","48","2","2","48","0.1","15","0","20","0.01","8","0.5","-305.1555345146242","5","-305.1555345146242"
"1","165","3","0.527","0.66","35","36","2","3","48","0.1","15","139","20","0.01","8","0.5","4519.413273041827","5","-305.1555345146242"
"1","170","3","0.527","0.66","35","42","2","1","48","0.1","15","145","20","0.01","8","0.5","1647.4137761530496","5","-305.1555345146242"
"1","175","3","0.527","0.66","35","18","2","2","48","0.1","15","73","20","0.01","8","0.5","2475.7004097174604","5","-305.1555345146242"
"1","180","3","0.527","0.66","35","26","2","2","48","0.1","15","47","20","0.01","8","0.5","777.112155698234","5","-305.1555345146242"
"1","185","3","0.527","0.66","35","18","2","3","48","0.1","15","18","20","0.01","8","0.5","494.48089181134327","5","-305.1555345146242"
"1","190","3","0.527","0.66","35","16","2","3","48","0.1","15","79","20","0.01","8","0.5","4463.393038129032","5","-305.1555345146242"
"1","195","3","0.527","0.66","35","30","2","2","48","0.1","15","130","20","0.01","8","0.5","3929.9801149296263","5","-305.1555345146242"
"1","200","3","0.527","0.66","35","36","2","1","48","0.1","15","178","20","0.01","8","0.5","2085.028522005136","5","-305.1555345146242"
"1","205","3","0.527","0.66","35","30","2","2","48","0.1","15","32","20","0.01","8","0.5","708.03734340898","5","-305.1555345146242"
