"search-number","evaluation","evals-requested-so-far","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","250","3","0.527","0.66","35","18","2","1","48","0.1","15","8","20","0.01","8","0.5","""1301448024""","-409.4530496828039","-409.4530496828039","-409.4530496828039","0","-409.4530496828039"
"1","2","250","3","0.527","0.66","35","18","2","1","48","0.1","15","8","20","0.01","8","0.5","""697225731""","-220.3641705043947","-220.3641705043947","-220.3641705043947","0","-220.3641705043947"
"1","3","250","3","0.527","0.66","35","18","2","1","48","0.1","15","8","20","0.01","8","0.5","""1240713012""","-315.79088515020237","-315.79088515020237","-315.79088515020237","0","-315.79088515020237"
"1","4","250","3","0.527","0.66","35","18","2","1","48","0.1","15","8","20","0.01","8","0.5","""-1689205969""","113.31420942600285","113.31420942600285","113.31420942600285","0","113.31420942600285"
"1","5","250","3","0.527","0.66","35","18","2","1","48","0.1","15","8","20","0.01","8","0.5","""-190960587""","-326.9962971116024","-326.9962971116024","-326.9962971116024","0","-326.9962971116024"
"1","6","250","3","0.527","0.66","35","30","2","1","48","0.1","15","179","20","0.01","8","0.5","""-1317294345""","3991.7675135147606","3991.7675135147606","3991.7675135147606","0","3991.7675135147606"
"1","7","250","3","0.527","0.66","35","30","2","1","48","0.1","15","179","20","0.01","8","0.5","""187737248""","1096.0082128840018","1096.0082128840018","1096.0082128840018","0","1096.0082128840018"
"1","8","250","3","0.527","0.66","35","30","2","1","48","0.1","15","179","20","0.01","8","0.5","""1670969347""","1421.3996774707364","1421.3996774707364","1421.3996774707364","0","1421.3996774707364"
"1","9","250","3","0.527","0.66","35","30","2","1","48","0.1","15","179","20","0.01","8","0.5","""287702458""","2373.3383795987356","2373.3383795987356","2373.3383795987356","0","2373.3383795987356"
"1","10","250","3","0.527","0.66","35","30","2","1","48","0.1","15","179","20","0.01","8","0.5","""-1588525783""","2000.4902778069004","2000.4902778069004","2000.4902778069004","0","2000.4902778069004"
"1","11","250","3","0.527","0.66","35","40","2","1","48","0.1","15","38","20","0.01","8","0.5","""-2147372731""","64.35538795489015","64.35538795489015","64.35538795489015","0","64.35538795489015"
"1","12","250","3","0.527","0.66","35","40","2","1","48","0.1","15","38","20","0.01","8","0.5","""1455682776""","195.63323544458416","195.63323544458416","195.63323544458416","0","195.63323544458416"
"1","13","250","3","0.527","0.66","35","40","2","1","48","0.1","15","38","20","0.01","8","0.5","""-1212518144""","175.19646693227895","175.19646693227895","175.19646693227895","0","175.19646693227895"
"1","14","250","3","0.527","0.66","35","40","2","1","48","0.1","15","38","20","0.01","8","0.5","""-1501596097""","323.55812944753967","323.55812944753967","323.55812944753967","0","323.55812944753967"
"1","15","250","3","0.527","0.66","35","40","2","1","48","0.1","15","38","20","0.01","8","0.5","""1515049265""","229.61286149565","229.61286149565","229.61286149565","0","229.61286149565"
"1","16","250","3","0.527","0.66","35","22","2","2","48","0.1","15","30","20","0.01","8","0.5","""1787606637""","194.60363340924522","194.60363340924522","194.60363340924522","0","194.60363340924522"
"1","17","250","3","0.527","0.66","35","22","2","2","48","0.1","15","30","20","0.01","8","0.5","""2060991697""","280.56477191330805","280.56477191330805","280.56477191330805","0","280.56477191330805"
"1","18","250","3","0.527","0.66","35","22","2","2","48","0.1","15","30","20","0.01","8","0.5","""-840302763""","155.69948182319706","155.69948182319706","155.69948182319706","0","155.69948182319706"
"1","19","250","3","0.527","0.66","35","22","2","2","48","0.1","15","30","20","0.01","8","0.5","""1773944507""","1073.4494750213692","1073.4494750213692","1073.4494750213692","0","1073.4494750213692"
"1","20","250","3","0.527","0.66","35","22","2","2","48","0.1","15","30","20","0.01","8","0.5","""1833633754""","685.3033519492233","685.3033519492233","685.3033519492233","0","685.3033519492233"
"1","21","250","3","0.527","0.66","35","28","2","1","48","0.1","15","13","20","0.01","8","0.5","""-292290050""","-113.63231943197965","-113.63231943197965","-113.63231943197965","0","-113.63231943197965"
"1","22","250","3","0.527","0.66","35","28","2","1","48","0.1","15","13","20","0.01","8","0.5","""-673511049""","-197.52815119030626","-197.52815119030626","-197.52815119030626","0","-197.52815119030626"
"1","23","250","3","0.527","0.66","35","28","2","1","48","0.1","15","13","20","0.01","8","0.5","""-1069516714""","-333.64605497085256","-333.64605497085256","-333.64605497085256","0","-333.64605497085256"
"1","24","250","3","0.527","0.66","35","28","2","1","48","0.1","15","13","20","0.01","8","0.5","""1467170804""","-223.5688918874953","-223.5688918874953","-223.5688918874953","0","-223.5688918874953"
"1","25","250","3","0.527","0.66","35","28","2","1","48","0.1","15","13","20","0.01","8","0.5","""-740285804""","-146.52214648389437","-146.52214648389437","-146.52214648389437","0","-146.52214648389437"
"1","26","250","3","0.527","0.66","35","46","2","2","48","0.1","15","149","20","0.01","8","0.5","""-761668747""","5431.794672973636","5431.794672973636","5431.794672973636","0","5431.794672973636"
"1","27","250","3","0.527","0.66","35","46","2","2","48","0.1","15","149","20","0.01","8","0.5","""-1932103655""","1929.6180054090914","1929.6180054090914","1929.6180054090914","0","1929.6180054090914"
"1","28","250","3","0.527","0.66","35","46","2","2","48","0.1","15","149","20","0.01","8","0.5","""-661945196""","3733.6630903868045","3733.6630903868045","3733.6630903868045","0","3733.6630903868045"
"1","29","250","3","0.527","0.66","35","46","2","2","48","0.1","15","149","20","0.01","8","0.5","""1273519310""","3938.7691818569674","3938.7691818569674","3938.7691818569674","0","3938.7691818569674"
"1","30","250","3","0.527","0.66","35","46","2","2","48","0.1","15","149","20","0.01","8","0.5","""1139233979""","4285.756490511385","4285.756490511385","4285.756490511385","0","4285.756490511385"
"1","31","250","3","0.527","0.66","35","40","2","1","48","0.1","15","135","20","0.01","8","0.5","""631224733""","1009.2639118329389","1009.2639118329389","1009.2639118329389","0","1009.2639118329389"
