"search-number","evaluation","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","fitness","num-replicates","best-fitness-so-far"
"1","5","3","0.527","0.66","35","18","2","1","48","0.1","15","8","20","0.01","8","0.5","-231.8580386046001","5","-231.8580386046001"
"1","10","3","0.527","0.66","35","30","2","1","48","0.1","15","179","20","0.01","8","0.5","2176.6008122550274","5","-231.8580386046001"
"1","15","3","0.527","0.66","35","40","2","1","48","0.1","15","38","20","0.01","8","0.5","197.6712162549886","5","-231.8580386046001"
"1","20","3","0.527","0.66","35","22","2","2","48","0.1","15","30","20","0.01","8","0.5","477.92414282326854","5","-231.8580386046001"
"1","25","3","0.527","0.66","35","28","2","1","48","0.1","15","13","20","0.01","8","0.5","-202.97951279290564","5","-231.8580386046001"
"1","30","3","0.527","0.66","35","46","2","2","48","0.1","15","149","20","0.01","8","0.5","3863.920288227577","5","-231.8580386046001"
"1","35","3","0.527","0.66","35","40","2","1","48","0.1","15","135","20","0.01","8","0.5","1729.7144004868715","5","-231.8580386046001"
"1","40","3","0.527","0.66","35","34","2","3","48","0.1","15","50","20","0.01","8","0.5","1716.6153183370916","5","-231.8580386046001"
"1","45","3","0.527","0.66","35","30","2","1","48","0.1","15","106","20","0.01","8","0.5","1471.7958676431415","5","-231.8580386046001"
"1","50","3","0.527","0.66","35","36","2","1","48","0.1","15","76","20","0.01","8","0.5","519.3606974774957","5","-231.8580386046001"
"1","55","3","0.527","0.66","35","10","2","3","48","0.1","15","134","20","0.01","8","0.5","9349.716170491793","5","-231.8580386046001"
"1","60","3","0.527","0.66","35","18","2","2","48","0.1","15","30","20","0.01","8","0.5","714.666854836646","5","-231.8580386046001"
"1","65","3","0.527","0.66","35","12","2","3","48","0.1","15","134","20","0.01","8","0.5","6649.19546234865","5","-231.8580386046001"
